Körper_in_Linie,Ellbogenwinkel_korrekt,Kopf_neutral,Bewegungstiefe_ausreichend,Kein_Durchhängen_im_Rücken,Gleichmäßige_Bewegung,Symmetrie,Score_(max_7)
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,,False,2
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,True,False,2
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,False,False,2
False,False,False,True,True,True,False,3
False,False,False,True,True,True,False,3
False,False,False,True,False,True,False,2
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
False,False,False,True,False,False,False,1
